Site ID,Name,Datetime,Data Type,Parameter ID,Parameter,Qualifier,Value,Unit of Measurement,Quality,Resolution,Comment
109566,109566,1980/10/24 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.451,mg/L,43,Raw Data,
109566,109566,1980/12/01 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.903,mg/L,43,Raw Data,
109623,109623,1980/04/16 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,1.129,mg/L,43,Raw Data,
109623,109623,1980/04/16 01:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.677,mg/L,43,Raw Data,
109657,109657,1980/11/07 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.226,mg/L,43,Raw Data,
109657,109657,1980/12/01 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.451,mg/L,43,Raw Data,
110095,110095,2009/04/28 15:50:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,
110095,110095,2014/03/27 09:28:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,
110103,110103,1997/07/14 15:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,13.600,mg/L,43,Raw Data,
110103,110103,1997/10/13 15:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,17.200,mg/L,43,Raw Data,
110140,110140,1997/07/14 15:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,1.600,mg/L,43,Raw Data,
110140,110140,1997/10/12 15:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,1.800,mg/L,43,Raw Data,
110140,110140,2015/03/11 15:23:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.900,mg/L,45,Raw Data,
110172,110172,2008/04/07 11:35:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.500,mg/L,43,Raw Data,
110172,110172,2014/10/30 13:05:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,2.510,mg/L,43,Raw Data,
110464,110464,2009/09/15 15:30:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.080,mg/L,43,Raw Data,
110464,110464,2014/03/17 08:46:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.090,mg/L,43,Raw Data,
110657,110657,1997/07/14 15:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,18.500,mg/L,43,Raw Data,
110657,110657,1997/10/12 15:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,18.200,mg/L,43,Raw Data,
110724,110724,1981/05/28 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.226,mg/L,43,Raw Data,
110724,110724,1981/05/28 01:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.226,mg/L,43,Raw Data,
110724,110724,1981/05/28 02:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.226,mg/L,43,Raw Data,
110724,110724,1981/07/14 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.226,mg/L,43,Raw Data,
110724,110724,2012/10/10 09:20:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.030,mg/L,43,Raw Data,
110745,110745,1980/04/29 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,2.935,mg/L,43,Raw Data,
110745,110745,2008/06/11 11:35:00,Quality,2331.00,Nitrogen as Nitrate (NO2),<,0.010,mg/L,43,Raw Data,
110870,110870,2008/04/10 11:36:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,63.000,mg/L,43,Raw Data,
110870,110870,2013/09/25 00:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,16.600,mg/L,44,Raw Data,
110870,110870,2015/09/23 11:51:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,17.000,mg/L,44,Raw Data,
113004,113004,2008/07/09 04:15:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.076,mg/L,43,Raw Data,
113004,113004,2008/07/09 16:15:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.076,mg/L,43,Raw Data,
113004,113004,2009/05/06 10:35:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.030,mg/L,43,Raw Data,
113004,113004,2009/05/06 10:55:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.010,mg/L,43,Raw Data,
113018,113018,2007/02/28 13:25:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,1.800,mg/L,43,Raw Data,
113018,113018,2008/02/13 13:30:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,1.800,mg/L,43,Raw Data,
113018,113018,2010/01/19 12:00:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,12.000,mg/L,43,Raw Data,
113018,113018,2010/07/14 13:45:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,0.100,mg/L,43,Raw Data,
113018,113018,2022/01/18 13:25:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,2.300,mg/L,43,Raw Data,Deutgam Sampling - 2022 01
113018,113018,2023/01/18 08:16:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,3.200,mg/L,43,Raw Data,
113018,113018,2023/07/12 08:59:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,3.200,mg/L,43,Raw Data,Deutgam Sampling July 2023
113018,113018,2024/07/15 10:52:00,Quality,2331.00,Nitrogen as Nitrate (NO2),,2.200,mg/L,43,Raw Data,
