Site ID,Name,Datetime,Data Type,Parameter ID,Parameter,Qualifier,Value,Unit of Measurement,Quality,Resolution,Comment
226241,LATROBE RV U/S L5,2004/05/03 15:05:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226241,LATROBE RV U/S L5,2004/08/16 12:35:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226241,LATROBE RV U/S L5,2004/11/08 12:05:00,Quality,2751.00,Total Selenium,,0.001,mg/L,65,Raw Data,
226241,LATROBE RV U/S L5,2005/02/07 11:25:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226241,LATROBE RV U/S L5,2005/05/02 12:14:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226241,LATROBE RV U/S L5,2005/08/01 13:20:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226241,LATROBE RV U/S L5,2005/11/07 12:45:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226241,LATROBE RV U/S L5,2006/02/06 11:30:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226241,LATROBE RV U/S L5,2006/05/01 13:30:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226241,LATROBE RV U/S L5,2006/08/07 11:45:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226241,LATROBE RV U/S L5,2006/11/06 13:15:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226241,LATROBE RV U/S L5,2007/02/05 10:20:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226241,LATROBE RV U/S L5,2007/05/01 10:45:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226242,TRARALGON LOY YANG 2,2004/02/09 08:50:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226242,TRARALGON LOY YANG 2,2004/05/03 11:35:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226242,TRARALGON LOY YANG 2,2005/02/07 08:10:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226242,TRARALGON LOY YANG 2,2006/02/06 08:10:00,Quality,2751.00,Total Selenium,,0.001,mg/L,65,Raw Data,
226242,TRARALGON LOY YANG 2,2007/02/05 08:10:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226415,TRARALGON C JONES RD,2003/02/03 10:18:00,Quality,2751.00,Total Selenium,,0.002,mg/L,65,Raw Data,
226415,TRARALGON C JONES RD,2003/05/12 10:45:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226415,TRARALGON C JONES RD,2003/08/04 11:05:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226415,TRARALGON C JONES RD,2003/11/05 08:45:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226415,TRARALGON C JONES RD,2004/02/09 09:20:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226415,TRARALGON C JONES RD,2004/05/03 12:15:00,Quality,2751.00,Total Selenium,,0.001,mg/L,65,Raw Data,
226415,TRARALGON C JONES RD,2004/08/16 09:35:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226415,TRARALGON C JONES RD,2004/11/08 08:40:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226415,TRARALGON C JONES RD,2005/02/07 08:35:00,Quality,2751.00,Total Selenium,,0.002,mg/L,65,Raw Data,
226415,TRARALGON C JONES RD,2005/05/02 09:42:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226415,TRARALGON C JONES RD,2005/08/01 10:30:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226415,TRARALGON C JONES RD,2005/11/07 08:07:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226415,TRARALGON C JONES RD,2006/02/06 08:45:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226415,TRARALGON C JONES RD,2006/05/01 09:30:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
226415,TRARALGON C JONES RD,2006/08/07 09:20:00,Quality,2751.00,Total Selenium,LT,0.001,mg/L,65,Raw Data,
